"code","iso","country","MSW.ind.1995","MSW.ind.1996","MSW.ind.1997","MSW.ind.1998","MSW.ind.1999","MSW.ind.2000","MSW.ind.2001","MSW.ind.2002","MSW.ind.2003","MSW.ind.2004","MSW.ind.2005","MSW.ind.2006","MSW.ind.2007","MSW.ind.2008","MSW.ind.2009","MSW.ind.2010","MSW.ind.2011","MSW.ind.2012","MSW.ind.2013","MSW.ind.2014","MSW.ind.2015","MSW.ind.2016","MSW.ind.2017","MSW.ind.2018","MSW.ind.2019","MSW.ind.2020"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"DZA","Algeria",91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433,91.6319999838433
20,"AND","Andorra",52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1
24,"AGO","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728,75.0728
32,"ARG","Argentina",44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917,44.6158000027917
51,"ARM","Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,"ABW","Aruba",9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905,9.13000000032905
